"","translatedText","text"
"1","excelent","excelentíssimo"
"2","Mr","senhor"
"3","president","presidente"
"4","congress","congresso"
"5","national","nacional"
"6","vice president","vicepresidente"
"7","republic","república"
"8","very excellent","excelentíssimos"
"9","gentlemen","senhores"
"10","bosses","chefes"
"11","state","estado"
"12","government","governo"
"13","foreigners","estrangeiros"
"14","chamber","câmara"
"15","deputies","deputados"
"16","supreme","supremo"
"17","court","tribunal"
"18","federal","federal"
"19","missions","missões"
"20","special","especiais"
"21","foreign","estrangeiras"
"22","members","integrantes"
"23","table","mesa"
"24","senators","senadores"
"25","high","altas"
"26","authorities","autoridades"
"27","ladies","senhoras"
"28","I come","venho"
"29","add","somar"
"30","hope","esperança"
"31","all","todos"
"32","in this","neste"
"33","day","dia"
"34","ingratiation","congraçamento"
"35","allow","permitam"
"36","",""
"37","before","antes"
"38","speak","fale"
"39","on here","aqui"
"40","citizen","cidadão"
"41","did","fez"
"42","obsession","obsessão"
"43","many","tantos"
"44","Brazilians","brasileiros"
"45","belonging","pertenço"
"46","generation","geração"
"47","grown up","cresceu"
"48","packed","embalada"
"49","dream","sonho"
"50","Brazil","brasil"
"51","time","tempo"
"52","democratic","democrático"
"53","developed","desenvolvido"
"54","free","livre"
"55","fair","justo"
"56","comes","vem"
"57","far","longe"
"58","flame","chama"
"59","of this","deste"
"60","heroes","heróis"
"61","independence","independência"
"62","abolitionists","abolicionistas"
"63","lieutenants","tenentes"
"64","revolutionaries","revolucionários"
"65","old","velha"
"66","saw","vi"
"67","shine","brilhar"
"68","eyes","olhos"
"69","dad","pai"
"70","lionesses","leônidas"
"71","cardoso","cardoso"
"72","generals","generais"
"73","campaign","campanha"
"74","""","“"
"75","Petroleum","petróleo"
"76","is","é"
"77","""","”"
"78","will shine","brilhara"
"79","end","fim"
"80","empire","império"
"81","Grandma","avô"
"82","abolitionist","abolicionista"
"83","republican","republicano"
"84","students","estudantes"
"85","they played","jogavam"
"86","all","todo"
"87","enthusiasm","entusiasmo"
"88","these","nessas"
"89","fights","lutas"
"90","industrialization","industrialização"
"91","ticket","bilhete"
"92","passage","passagem"
"93","world","mundo"
"94","modern","moderno"
"95","postwar","pósguerra"
"96","ensured","asseguravam"
"97","place","lugar"
"98","car","carro"
"99","progress","progresso"
"100","technological","tecnológico"
"101","accelerated","acelerava"
"102","threatened","ameaçava"
"103","leave","deixar"
"104","dust","poeira"
"105","some","algum"
"106","presidency","presidência"
"107","Juscelino","juscelino"
"108","kubitschek","kubitschek"
"109","future","futuro"
"110","It appeared","pareceu"
"111","be","estar"
"112","close","perto"
"113","there were","havia"
"114","development","desenvolvimento"
"115","industrialized","industrializava"
"116","quickly","rapidamente"
"117","democracy","democracia"
"118","it worked","funcionava"
"119","although","apesar"
"120","jolts","sobressaltos"
"121","prospects","perspectivas"
"122","improvement","melhoria"
"123","Social","social"
"124","story","história"
"125","gives","dá"
"126","turns","voltas"
"127","confuse","confundem"
"128","""years","“anos"
"129","golden ""","dourados”"
"130","jk","jk"
"131","ended up","terminaram"
"132","inflation","inflação"
"133","tensions","tensões"
"134","policies","políticas"
"135","high","alta"
"136","came","vieram"
"137","So","então"
"138","years","anos"
"139","dark","sombrios"
"140","first","primeiro"
"141","they brought","trouxeram"
"142","return","volta"
"143","growth","crescimento"
"144","sacrificed","sacrificaram"
"145","freedom","liberdade"
"146","few","poucos"
"147","only","somente"
"148","legacy","legado"
"149","-","–"
"150","yea","sim"
"151","debt","dívida"
"152","external","externa"
"153","tied","amarrou"
"154","economy","economia"
"155","aggravated","agravou"
"156","bad ones","mazelas"
"157","social","sociais"
"158","decade","década"
"159","1980","1980"
"160","like this","assim"
"161","children","filhos"
"162","are born","nascerem"
"163","grandchildren","netos"
"164","dreaming","sonhando"
"165","fighting","lutando"
"166","to see","divisar"
"167","justice","justiça"
"168","would walk","andariam"
"169","together","juntos"
"170","in this","nesta"
"171","Earth","terra"
"172","Never","nunca"
"173","I doubted","duvidei"
"174","would arrive","chegaria"
"175","I thought","pensei"
"176","could","pudesse"
"177","meet","encontrar"
"178","position","posição"
"179","I assume","assumo"
"180","today","hoje"
"181","chosen","escolhido"
"182","majority","maioria"
"183","fellow citizens","concidadãos"
"184","lead","liderar"
"185","walking","caminhada"
"186","heading","rumo"
"187","dreams","sonhos"
"188","arrogance","arrogância"
"189","absolute","absoluta"
"190","conviction","convicção"
"191","I say","digo"
"192","parents","país"
"193","go","vai"
"194","to give","dar"
"195","right","certo"
"196","cause","causa"
"197","huge","imensa"
"198","will","vontade"
"199","to see","ver"
"200","because","porque"
"201","time","momento"
"202","matured","amadureceu"
"203","all","tudo"
"204","we recovered","recuperamos"
"205","should","deve"
"206","to be","ser"
"207","good","bem"
"208","precious","precioso"
"209","people","povo"
"210","peacefully","pacificamente"
"211","tranquility","tranqüilidade"
"212","sorrows","mágoas"
"213","scars","cicatrizes"
"214","stay","ficam"
"215","symbol","símbolo"
"216","new","novas"
"217","situations","situações"
"218","violence","violência"
"219","repeat","repitam"
"220","we turn","viramos"
"221","page","página"
"222","authoritarianism","autoritarismo"
"223","names","nomes"
"224","shapes","formas"
"225","many different","diferentes"
"226","misrepresented","desvirtuou"
"227","since","desde"
"228","foundation","fundação"
"229","young","jovens"
"230","painted","pintaram"
"231","face","cara"
"232","occupation","ocuparam"
"233","streets","ruas"
"234","requiring","exigindo"
"235","decency","decência"
"236","representatives","representantes"
"237","people","pessoas"
"238","they learned","aprenderam"
"239","value","valor"
"240","lose it","perdêla"
"241","conquest","conquista"
"242","final","definitiva"
"243","anything","nada"
"244","nobody","ninguém"
"245","Pharaoh","farão"
"246","Open","abrir"
"247","hand","mão"
"248","confidence","confiança"
"249","question","questão"
"250","only","apenas"
"251","euphoria","euforia"
"252","passenger","passageira"
