"","translatedText","text"
"1","Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency, Your Excellency. hope all on this day","excelentíssimo senhor presidente  congresso nacional excelentíssimo senhor vicepresidente  república excelentíssimos senhores chefes  estado   governo estrangeiros excelentíssimo senhor presidente  câmara  deputados excelentíssimo senhor presidente  supremo tribunal federal excelentíssimos senhores chefes  missões especiais estrangeiras excelentíssimos senhores integrantes  mesa excelentíssimos senhores senadores excelentíssimos senhores deputados altas autoridades  república senhoras  senhores venho somar  esperança  esperança  todos neste dia  congraçamento"
"2","allow before president speak here citizen made hope so many Brazilians","permitam  antes  presidente fale aqui  cidadão  fez  esperança  obsessão  tantos brasileiros"
"3","belonging generation grown up packaged dream brazil democratic time developed free fair","pertenço   geração  cresceu embalada  sonho   brasil     tempo democrático desenvolvido livre  justo"
"4","come away, call this dream","vem  longe  chama deste sonho"
"5","independence","vem  heróis  independência"
"6","come abolitionists","vem  abolicionistas"
"7","come lieutenants revolution old republic flame vi glow eyes father leonidas cardoso generals campaign ""oil is"" shine end empire eyes grandfather republican abolitionist","vem  tenentes revolucionários  velha república  chama  vi brilhar  olhos   pai leônidas cardoso   generais  campanha “ petróleo é ”   brilhara  fim  império  olhos   avô abolicionista  republicano"
"8","students threw every enthusiasm in these struggles oil industrialization ticket passage modern world postwar","estudantes  jogavam   todo   entusiasmo nessas lutas petróleo  industrialização   bilhete  passagem   mundo moderno  pósguerra"
"9","assuring place brazil car technological progress accelerated threatened to leave dust","asseguravam  lugar   brasil  carro  progresso tecnológico  acelerava  ameaçava  deixar  poeira"
"10","some time presidency juscelino kubitschek future seemed to be close","algum tempo  presidência  juscelino kubitschek  futuro  pareceu estar perto"
"11","there was development","havia desenvolvimento"
"12","brazil industrialized quickly","brasil  industrializava rapidamente"
"13","democracy worked despite shocks","democracia funcionava apesar  sobressaltos"
"14","there were social improvement prospects","havia perspectivas  melhoria social"
"15","story turns turns confuse","história dá voltas   confundem"
